0   0   0   0   0   0
10  0.03    0.010   0   0   0
20  0.05    0.033   0   0   0
30  0.11    0.064   0.005   0
40  0.22    0.134   0.018   0   0
50  0.335   0.218   0.037   0   0
60  0.455   0.295   0.064   0.001   0
70  0.585   0.41    0.116   0.007   0
80  0.68    0.525   0.178   0.018   0
90  0.84    0.62    0.25    0.037   0
100 1   0.76    0.335   0.056   0.003
110 1.18    0.92    0.44    0.096   0.009
120 1.36    1.08    0.565   0.178   0.0195
