1.879   109.8   17  0.45
1.862   104.8   15  0.39
1.847   100.2   13  0.34
1.831   95  12  0.32
1.814   90.3    10  0.26
1.795   84.9    9   0.24
1.78    80.5    8   0.21
1.76    74.8    7   0.18
1.743   70.3    6   0.16
1.724   65.2    6   0.16
1.706   60.6    5   0.13
1.664   49.9    4   0.11
1.621   40  3   0.08
1.577   30.3    2   0.05
1.522   20  1   0.03
1.458   10.4    1   0.03
1.047   0   0   0.00
1.403   5   0   0.00
1.898   114.9   19  0.5
1.89    112.1   18  0.47
