1   0.003   5.60    0.02
2   0.006   7.50    0.02
3   0.02    8.80    0.03
4   0.02    10.10   0.03
5   0.02    11.40   0.03
6   0.02    12.60   0.03
7   0.03    13.70   0.03
8   0.03    14.90   0.03
9   0.03    15.80   0.06
10  0.03    16.60   0.06
11  0.03    17.60   0.06
12  0.03    18.6    0.06
13  0.03    19.4    0.06
14  0.03    20.4    0.06
15  0.03    21.2    0.06
16  0.06    22.2    0.06
17  0.06    23.4    0.06
18  0.06    24.4    0.06
19  0.06    25.0    0.06
20  0.06    25.8    0.06
21  0.06    26.6    0.06
22  0.06    27.2    0.06
23  0.06    28.2    0.06
24  0.06    28.8    0.06
