250 1   4920    40
300 1   3600    40
350 1   2980    30
400 1   2510    30
450 1   2150    20
500 1   1890    20
1000    6   714    7
1500    9   438 4
2000    10  315 3
2500    20  279 3
3000    20  225 2
3500    20  188 2
4000    20  162 2
4500    30  143 1
5000    30  128 1
