       0,000 -5,01100E-004
       0,407 -4,83600E-004
       0,829 -4,99100E-004
       1,250 -4,99400E-004
       1,688 -4,90300E-004
       2,110 -5,06300E-004
       2,547 -4,98900E-004
       2,969 -4,96700E-004
       3,407 -4,97400E-004
       3,829 -4,93700E-004
       4,266 -4,99700E-004
       4,688 -4,92000E-004
       5,125 -5,00200E-004
       5,547 -4,91400E-004
       5,985 -4,97100E-004
       6,407 -4,94300E-004
       6,844 -4,99000E-004
       7,266 -4,95300E-004
       7,704 -5,01400E-004
       8,125 -4,91300E-004
       8,563 -5,04400E-004
       9,000 -4,86100E-004
       9,438 -5,00500E-004
       9,875 -4,96500E-004
      10,297 -4,92600E-004
      10,735 -5,01500E-004
      11,157 -4,81300E-004
      11,594 -5,16300E-004
      12,032 -4,86300E-004
      12,454 -4,96300E-004
      12,891 -5,14900E-004
      13,329 -4,80400E-004
      13,750 -5,00600E-004
      14,188 -4,92300E-004
      14,625 -5,01200E-004
      15,047 -5,06800E-004
      15,485 -4,93700E-004
      15,907 -5,10000E-004
      16,344 -4,83300E-004
      16,782 -5,12900E-004
      17,204 -4,91000E-004
      17,641 -4,98200E-004
      18,079 -4,99100E-004
      18,500 -4,87500E-004
      18,938 -5,06600E-004
      19,360 -4,79600E-004
      19,797 -4,78300E-004
      20,219 -4,85600E-004
      20,641 -4,93000E-004
      21,094 -5,15900E-004
      21,610 -4,95600E-004
      22,047 -4,76700E-004
      22,485 -4,79500E-004
      23,063 -4,94500E-004
      23,485 -4,97200E-004
      23,922 -4,89500E-004
      24,360 -4,85400E-004
      24,969 -5,11500E-004
      25,391 -4,87600E-004
      25,813 -4,98800E-004
      26,250 -5,14600E-004
      26,719 -4,82700E-004
      27,157 -4,78600E-004
      27,594 -4,90600E-004
      28,141 -5,16900E-004
      28,594 -5,11200E-004
      29,063 -4,84300E-004
      29,594 -5,03000E-004
      30,094 -4,84000E-004
      30,516 -5,15600E-004
      31,016 -5,00200E-004
      31,454 -4,86100E-004
      31,891 -4,82200E-004
      32,407 -5,12900E-004
      32,907 -4,82100E-004
      33,579 -4,88100E-004
      34,094 -4,79600E-004
      34,594 -5,04800E-004
      35,047 -4,91200E-004
      35,532 -4,86400E-004
      36,047 -4,97300E-004
      36,500 -4,79000E-004
      36,985 -4,79800E-004
      37,469 -4,78800E-004
      37,954 -4,96800E-004
      38,422 -4,99100E-004
      38,860 -4,95800E-004
      39,297 -5,00400E-004
      39,735 -4,92400E-004
      40,172 -4,98600E-004
      40,594 -5,15700E-004
      41,032 -4,84400E-004
      41,469 -4,78100E-004
      41,922 -4,98500E-004
      42,360 -4,98400E-004
      42,782 -4,78300E-004
      43,219 -5,00900E-004
      43,657 -4,97600E-004
      44,110 -4,89700E-004
      44,547 -4,78700E-004
      44,985 -5,14400E-004
      45,407 -4,88300E-004
      45,860 -4,99500E-004
      46,313 -4,89900E-004
      46,750 -4,99600E-004
      47,188 -4,94400E-004
      47,641 -5,14700E-004
      48,079 -4,80200E-004
      48,500 -5,00100E-004
      48,938 -5,09500E-004
      49,375 -4,96500E-004
      49,813 -4,82900E-004
      50,282 -5,08500E-004
      50,719 -4,76300E-004
      51,141 -5,07900E-004
      51,594 -4,95400E-004
      52,032 -4,77100E-004
      52,469 -5,02000E-004
      52,891 -5,06600E-004
      53,329 -4,89800E-004
      53,766 -4,99700E-004
      54,204 -5,10500E-004
      54,641 -5,15000E-004
      55,094 -5,01200E-004
      55,563 -4,97500E-004
      55,985 -4,91600E-004
      56,422 -5,04300E-004
      56,860 -4,96000E-004
      57,282 -4,87500E-004
      57,891 -4,80000E-004
      58,329 -5,11700E-004
      58,750 -4,90600E-004
      59,516 -5,07000E-004
      59,954 -4,86800E-004
      60,391 -4,92600E-004
      60,829 -4,96000E-004
      61,282 -5,13200E-004
      61,719 -4,90900E-004
      62,141 -5,03300E-004
      62,579 -5,12000E-004
      63,016 -4,78900E-004
      63,438 -5,01800E-004
      63,875 -5,07400E-004
      64,313 -4,93300E-004
      64,782 -5,15300E-004
      65,250 -5,00300E-004
      65,688 -4,82600E-004
      66,125 -4,90600E-004
      66,563 -4,85800E-004
      67,000 -5,17700E-004
      67,438 -4,90800E-004
      67,860 -4,89200E-004
      68,313 -4,83500E-004
      68,735 -5,14600E-004
      69,172 -4,92200E-004
      69,610 -5,04100E-004
      70,032 -5,10100E-004
      70,469 -4,79000E-004
      70,907 -5,13300E-004
      71,344 -4,93400E-004
      71,766 -4,94500E-004
      72,204 -5,18100E-004
      72,641 -4,91200E-004
      73,063 -4,95200E-004
      73,500 -5,03600E-004
      73,922 -4,84900E-004
      74,375 -5,05000E-004
      74,829 -4,80900E-004
      75,266 -5,18200E-004
      75,704 -4,80400E-004
      76,141 -5,14400E-004
      76,579 -5,01400E-004
      77,016 -4,97500E-004
      77,454 -5,03600E-004
      77,891 -4,77800E-004
      78,329 -4,98500E-004
      78,797 -4,93700E-004
      79,250 -4,81700E-004
      79,782 -4,83900E-004
      80,204 -4,99700E-004
      80,641 -5,16400E-004
      81,079 -4,82900E-004
      81,532 -5,01200E-004
      81,954 -4,92800E-004
      82,407 -5,03600E-004
      82,844 -4,91200E-004
      83,266 -4,99100E-004
      83,704 -5,00500E-004
      84,125 -4,86100E-004
      84,563 -5,10600E-004
      85,016 -4,78700E-004
      85,454 -5,05400E-004
      85,875 -4,95400E-004
      86,313 -4,87400E-004
      86,766 -5,16100E-004
      87,188 -4,89800E-004
      87,641 -4,97600E-004
      88,079 -4,89400E-004
      88,516 -4,89300E-004
      88,938 -5,14800E-004
      89,375 -4,77600E-004
      89,813 -5,07200E-004
      90,235 -5,11000E-004
      90,672 -4,92500E-004
      91,110 -4,99800E-004
      91,875 -5,15000E-004
      92,313 -4,77600E-004
      92,750 -5,08600E-004
      93,172 -4,93000E-004
      93,610 -5,01500E-004
      94,032 -4,91000E-004
      94,469 -4,95100E-004
      94,907 -5,11600E-004
      95,329 -4,88300E-004
      95,782 -5,14300E-004
      96,219 -4,90200E-004
      96,641 -4,92300E-004
      97,079 -5,10500E-004
      97,516 -4,93300E-004
      97,969 -5,03800E-004
      98,422 -4,84200E-004
      98,875 -4,97600E-004
      99,297 -5,16200E-004
      99,735 -4,79000E-004
     100,172 -5,05000E-004
     100,594 -4,94200E-004
     101,032 -5,02700E-004
     101,454 -4,95500E-004
     101,891 -4,97800E-004
     102,313 -4,96000E-004
     102,750 -4,95600E-004
     103,172 -5,08100E-004
     103,610 -4,78500E-004
     104,047 -5,10800E-004
     104,469 -4,98600E-004
