400 72  72  75
420 76  73  73
440 77  69  68
460 75  61  60
480 72  51  49
500 66  37  35
520 55  29  26
540 45  27  26
560 41  39  40
580 36  58  62
600 34  72  81
620 34  79  90
640 38  82  94
660 52  85  96
680 72  91  98
700 87  96  99
