400 47  72  87
420 54  76  88
440 56  77  89
460 55  75  88
480 50  72  86
500 40  66  82
520 26  55  76
540 16  45  70
560 11  41  68
580 8   36  66
600 6   34  66
620 6   34  68
640 9   38  71
660 20  52  78
680 46  72  88
700 72  87  95
