0.5 8.1 1
0.7 16.4    1
1   33.4    0.5
1.1 40.1    0.7
1.3 55.6    1
1.5 73.46   0.3
1.7 93.6    0.3
1.9 114.7   0.3
2.1 136.5   0.2
